FloatID,Station,longitude_degrees_east,latitude_degrees_north,Pressure_dbar,Temperature_Celcius,salinity_pss,Sigma_theta_kg_m_pow_minus_3,depth_m,oxygen_mu_molkg_pow_minus_1,oxygen_QF,oxygen saturation_QF,nitrate_mu_mol_kg_pow_minus_1,nitrate_QF,chl_a_mg_m_pow_minus_3,chl_a_QF,b_bp700_m_pow_minus_1,b_bp700_QF,POC_milli_mol_m_pow_minus_3,POC_QF,pH_insitu_total,pH_insitu_QF,pH_25C_total,pH_25C_QF,TALK_micro_mol_kg_pow_minus_1,TALK_QF,DIC_micro_mol_kg_pow_minus_1,DIC_QF,pCO2_micro_atm,pCO2_QF,CDOM_ppb,CDOM_QF
1902303.0,1.0,345.264,49.233,90.0,11.685,35.549,27.079,89.215,263.69,0.0,0.0,7.93,0.0,0.5481,0.0,0.00139,0.0,3.87,0.0,8.0484,0.0,7.8518,0.0,2337.0,0.0,2131.0,0.0,396.9,0.0,1.67,1.0
1902303.0,1.0,345.264,49.233,88.0,11.687,35.549,27.078,87.233,263.65,0.0,0.0,7.97,0.0,0.5734,0.0,0.00147,0.0,4.08,0.0,8.0482,0.0,7.8515,0.0,2337.0,0.0,2131.0,0.0,397.2,0.0,1.67,1.0
1902303.0,1.0,345.264,49.233,86.0,11.687,35.548,27.077,85.251,263.5,0.0,0.0,7.95,0.0,0.8002,0.0,0.001539,0.0,4.26,0.0,8.048,0.0,7.8512,0.0,2337.0,0.0,2131.0,0.0,397.5,0.0,1.68,1.0
1902303.0,1.0,345.264,49.233,84.0,11.687,35.548,27.077,83.269,263.48,0.0,0.0,7.83,0.0,0.8939,0.0,0.001475,0.0,4.09,0.0,8.0478,0.0,7.851,0.0,2337.0,0.0,2131.0,0.0,397.7,0.0,1.67,1.0
1902303.0,1.0,345.264,49.233,80.0,11.686,35.547,27.077,79.304,263.39,0.0,0.0,7.81,0.0,0.7027,0.0,0.001403,0.0,3.9,0.0,8.0484,0.0,7.8515,0.0,2337.0,0.0,2131.0,0.0,397.3,0.0,1.67,1.0
1902303.0,1.0,345.264,49.233,78.0,11.687,35.546,27.076,77.322,263.47,0.0,0.0,7.89,0.0,0.7477,0.0,0.001729,0.0,4.75,0.0,8.0483,0.0,7.8513,0.0,2337.0,0.0,2131.0,0.0,397.5,0.0,1.66,1.0
1902303.0,1.0,345.264,49.233,76.0,11.688,35.545,27.075,75.34,263.41,0.0,0.0,7.8,0.0,0.9539,0.0,0.001958,0.0,5.34,0.0,8.0486,0.0,7.8515,0.0,2337.0,0.0,2131.0,0.0,397.3,0.0,1.67,1.0
1902303.0,1.0,345.264,49.233,72.0,11.69,35.544,27.073,71.375,263.4,0.0,0.0,7.73,0.0,0.981,0.0,0.001795,0.0,4.92,0.0,8.0486,0.0,7.8514,0.0,2337.0,0.0,2131.0,0.0,397.5,0.0,1.69,1.0
1902303.0,1.0,345.264,49.233,66.0,11.699,35.543,27.071,65.428,263.28,0.0,0.0,7.61,0.0,1.2022,0.0,0.00199,0.0,5.43,0.0,8.0484,0.0,7.8511,0.0,2337.0,0.0,2131.0,0.0,398.0,0.0,1.7,1.0
1902303.0,1.0,345.264,49.233,62.0,11.76,35.538,27.055,61.464,264.02,0.0,0.0,7.52,0.0,1.0672,0.0,0.006571,0.0,17.34,0.0,8.0542,0.0,7.8575,0.0,2337.0,0.0,2128.0,0.0,392.1,0.0,1.71,1.0
