nitrate_mu_mol_kg_pow_minus_1,predict
11.16,11.873851252755092
8.46,10.123933229139448
19.91,22.204103420558347
5.21,5.061936028779821
14.3,15.44943807937893
4.56,5.388726921323462
16.78,17.35983294588369
0.05,0.9418356404797414
5.8,5.378586693530313
0.32,1.281396810393522
16.29,16.276420724907087
18.05,17.52127280532946
5.08,3.0595720960199095
1.56,3.128635352405359
5.24,7.157508261767173
0.07,1.4302799257864311
3.09,3.9686907526653457
22.72,22.775547762638933
10.08,10.92970799375894
0.5,2.3234061449865155
19.41,21.991059688499035
0.13,0.09602585629181526
1.85,0.9960946267107893
31.96,32.59167989989146
16.38,16.046973094076165
2.57,2.612399505662845
9.23,9.811609483135992
2.21,2.3770861894711306
0.52,1.2477612500946371
4.44,5.367504560777759
22.22,22.711417782521305
16.93,17.78818902781783
0.98,1.8974090798702878
