Sigma_theta_kg_m_pow_minus_3,predict
26.318,26.380036097295818
27.175,27.20392319180245
25.657,25.75724948588163
26.266,26.334152840604336
27.296,27.44517223421402
25.09,25.29128521193661
26.745,26.808542648885254
27.616,27.736380220445458
27.03,26.90612344828015
27.736,27.84412607677705
25.127,25.215675380687998
27.164,26.86885113066956
26.557,26.616611866154535
26.35,26.267069104525703
26.954,26.8347363503704
27.737,27.833261366545557
26.826,26.889999023040847
27.055,26.994912065071535
27.005,26.859465270291263
25.941,25.940956155350204
26.909,26.816258717834323
27.04,26.88976213989837
27.378,27.35396877310865
27.001,27.000005289468024
27.736,27.82371260645267
25.604,25.686074298487867
26.899,26.85919694848827
27.603,27.604918965979067
25.71,25.956254602829475
27.641,27.70524097410909
27.746,27.867752783736307
26.031,26.05086248011529
27.578,27.558493024556658
27.76,27.873405767180188
27.2,27.119737590636664
27.039,26.916710184873036
27.749,27.874780695548992
27.806,27.91441942178976
26.061,25.95895901404969
27.737,27.83616835906346
27.146,27.146243324222038
