nitrate_mu_mol_kg_pow_minus_1,predict
0.88,1.093208606277944
9.1,1.6397075495815834
17.75,20.72001485672265
21.62,23.155830320757023
16.42,16.114978183416667
4.05,3.0812706992913785
2.49,1.8854771565568047
9.62,10.190298633828338
6.15,3.1527201303649637
16.86,18.617436222200872
16.81,20.74190726108924
10.39,11.377698914796119
7.07,5.126106103151163
16.82,16.0436301533579
21.42,19.801545894716305
11.57,14.402760517287367
19.08,20.728120490808898
4.46,3.8692351129968925
9.37,9.913557640712147
3.81,2.5002574623217253
9.95,9.224617102996987
16.83,18.11114706690628
19.19,19.386841586918386
5.81,6.213189196022191
8.18,8.234527594707803
0.15,0.94312402937169
0.4,2.791665799355499
16.3,15.879030752745937
17.64,17.433491203903284
18.16,23.118433719155547
2.55,1.2549711509364343
16.59,18.50162430470197
1.04,2.790866315441413
2.99,3.3840822750799937
17.83,17.495636700466783
9.94,11.789213235082872
22.12,21.785857374044202
20.46,18.79064100335335
23.69,20.944284234316562
0.13,1.0388645021424683
16.54,19.049301958493306
0.04,0.8081468720470024
16.47,15.851390958480184
23.07,20.158845547082272
4.23,8.586825957006855
1.45,0.9109852895804877
5.0,1.7836586083839236
1.83,1.6634337541734858
1.16,1.4647648505726565
2.19,0.8750838783047925
7.94,5.577741487172888
7.57,9.473536992093893
14.61,14.69959700962399
24.04,25.21907139464053
16.81,19.62766226001966
16.82,16.658294013936224
17.2,17.138836553805277
2.48,0.9808740778383473
17.41,22.46258071264197
5.96,4.333003646412992
10.57,9.076859813797892
16.69,19.991400503009974
0.12,0.8185685450919671
6.09,4.713247575114072
20.29,17.02762003118365
0.14,0.8988897242718625
1.86,2.7099478862529995
9.66,10.941203828374169
1.49,0.8164803551106594
0.18,0.8562196335162291
24.24,21.075810064247445
25.11,25.11779883537136
1.83,2.9934010448593877
16.38,16.01017113770157
1.1,1.6305319758043844
13.43,13.562861710304801
1.8,2.3547020214948446
23.4,21.29983530005454
3.29,3.0814554936282246
11.36,10.304612013407258
16.85,18.118186082219538
9.56,10.138415665148726
5.07,8.242434569394572
18.6,20.410651924152027
5.45,5.638499563851084
2.67,1.5390774554595978
9.9,10.259337211953227
31.84,33.93901158052509
23.97,23.77221060641841
10.85,13.800527541325895
8.44,7.19430901537086
1.48,3.0566470218974366
0.78,0.8285538340494831
0.11,0.827517484721966
5.56,6.305466334378477
10.16,9.424011646689308
0.2,0.822983233283848
17.13,17.416175684328767
18.1,21.61081396740701
0.02,0.8151721227612967
11.49,9.103687489003379
19.99,21.743890851022872
16.83,18.184267896291036
33.47,34.76241467976057
16.43,19.662603867725004
0.22,1.6536242707361808
1.17,1.6063915789598902
5.35,5.938928377556798
21.16,17.30511659240967
5.36,5.724542153749827
5.98,4.294669456577478
0.21,0.8311713809436867
18.28,20.836001910100993
0.17,1.0411466085795062
23.18,22.620436843496485
0.71,2.5683332456872527
1.24,1.5131843057560275
16.24,16.11643701503994
8.38,9.042078409137375
19.6,19.694910683307448
5.81,3.8395885754110193
18.08,17.673491554401892
0.56,0.9707598125628767
5.93,5.059180646230242
17.3,17.391890965793788
6.95,7.411422577551167
5.16,3.138021315659204
17.9,17.948955971781032
17.83,22.21284021853326
2.01,3.2625174326989743
11.42,12.839064571392068
14.76,12.972466960905036
17.29,16.091311883774782
16.28,15.541698968886573
8.08,10.079388284809816
16.42,16.756220611929116
4.78,6.709824557730098
0.06,2.5753450718304833
17.71,20.42420830038059
23.87,23.745361711441802
10.24,9.771092325434457
1.17,1.520341134956258
1.28,1.8192314694437588
7.85,5.826112983491541
